לְהִשְׁתַּקֵּף	lehiʃtaˈkef
תֵזַה	ˈteza
הַזְמַן	hazˈman
קַרִיר	kaˈrir
הכפשה	haxpaˈʃa
רחוב	reˈxov
להאמין	lehaʔaˈmin
גּוֹפְרִית	gofˈrit
אַלְפַּייִם	alˈpajim
עֲפִיפוֹן	afiˈfon
לבצוע	livtˈsoa
לכן	laˈxen
טַבוּעַ	taˈvua
סיפוח	siˈpuax
סתיו	sˈtav
הקפאה	hakpaˈʔa
לְהֵיאָרֵז	leheʔaˈrez
כַּאן	ˈkan
לְהִיטַּשְׁטֵשׁ	lehitaʃˈteʃ
לְדַכְדֵּךְ	ledaxˈdex
אִם	ˈim
קומקום	kumˈkum
שַׁאוּל	ʃaˈʔul
דִּיפְדּוּף	difˈduf
מְפוּסְטָר	mefusˈtar
פלא	ˈpele
אוֹפְייָנִי	ofjaˈni
חוֹמֵשׁ	ˈxomeʃ
לְרַקֵעַ	leraˈkea
לְהִתְמַזְמֵז	lehitmazˈmez
לְטַפְטֵף	letafˈtef
להישקף	lehiʃaˈkef
לַחַלוֹשׁ	laxaˈloʃ
עַגַלְגַל	agalˈgal
לקרקע	lekarˈkea
לְהֵיאַפוֹת	leheʔaˈfot
עַנַווַה	anaˈva
הַשְׁרַאַה	haʃraˈʔa
רְעִידַת	reʔiˈdat
עָגוּר	aˈgur
סְתִירַה	stiˈra
לְהַשְׁמִיט	lehaʃˈmit
גֵו	ˈgev
בְּיַחַד	beˈjaxad
לְהִינַזֵק	lehinaˈzek
דייקן	dajˈkan
לְייַקֵר	lejaˈker
קוֹלַב	koˈlav
דוושה	davˈʃa
לְהַלַן	lehaˈlan
להנחות	lehanˈxot
לַעַמוֹד	laʔaˈmod
עַבֵירַה	aveˈra
צילום	tsiˈlum
צנתר	tsanˈtar
החנוך	haxiˈnux
זָעִיר	zaˈʔir
פקולטה	faˈkulta
להשרות	lehaʃˈrot
דווקא	ˈdavka
מיתוס	ˈmitos
עַצְלוּת	atsˈlut
נוטריקון	notariˈkon
להיחרז	lehexaˈrez
ארוס	aˈrus
לְהַפִיץ	lehaˈfits
תקליטור	takliˈtor
נעימה	neʔiˈma
גמלאי	gimˈlaj
רַךְ	ˈrax
איפול	iˈpul
רַחְצָה	raxtˈsa
מְתוּלְתָּל	metulˈtal
לִשְׂרוֹף	lisˈrof
שַׁיִט	ˈʃajit
להיצבר	lehitsaˈver
סָפֵק	saˈfek
לְהִיקַרֵא	lehikaˈre
רַעַנַן	raʔaˈnan
צַמָּה	tsaˈma
לנוח	laˈnuax
שמיש	ʃaˈmiʃ
בִּירָה	ˈbira
עוּבַּר	uˈbar
חזייה	xaziˈja
ממזר	mamˈzer
מִרְשַׁם	mirˈʃam
הִתְייַעֲלוּת	hitjaʔaˈlut
קַו	ˈkav
לְהִיפָּרֵשׂ	lehipaˈres
הבעיות	habeaˈjot
מַטָּע	maˈta
לְהִינַתֵן	lehinaˈten
לשים	laˈsim
לְהִיווָּאֵשׁ	lehivaˈʔeʃ
לִטְבּוֹעַ	litˈboa
עֲתִירָה	atiˈra
להשתובב	lehiʃtoˈvev
שׁוֹחַד	ˈʃoxad
קַבוּר	kaˈvur
תסריט	tasˈrit
תַּרְשִׁים	tarˈʃim
לֵאֵבוֹת	leʔeˈvot
שָׁטוּף	ʃaˈtuf
לְהִיתָּקֵף	lehitaˈkef
הִתְפַּרְסוּת	hitparˈsut
מִגְווָן	migˈvan
מַסְמֵר	masˈmer
לְאַתְגֵּר	leʔatˈger
פגום	paˈgum
לממש	lemaˈmeʃ
לְהַאִיט	lehaˈʔit
לעמד	leʔaˈmed
הישראלית	hajisreʔeˈlit
תִּיפְעוּלִי	tifʔuˈli
שׁוֹאָה	ʃoˈʔa
מופת	moˈfet
שֶׁפַע	ˈʃefa
לְבַדֵּחַ	levaˈdeax
מגב	maˈgev
לְהִתְווַדֵעַ	lehitvaˈdea
וַדָאוּת	vadaˈʔut
לְהִתְאַבֵּד	lehitʔaˈbed
דַּלּוּת	daˈlut
לְהִשְׁתַקֵעַ	lehiʃtaˈkea
תִּמְרוֹן	timˈron
פליט	paˈlit
לִיצֹור	liˈtsor
נִיתּוּק	niˈtuk
צָרוּד	tsaˈrud
מְצוּפֵּה	metsuˈpe
ערק	aˈrak
מָיוֹרָן	majoˈran
רפידה	refiˈda
לְדַגְדֵּג	ledagˈdeg
לְדַדּוֹת	ledaˈdot
לַשׁוּחַ	laˈʃuax
אַרַעִי	araˈʔi
לְהִיקַרוֹת	lehikaˈrot
לְהָנִיד	lehaˈnid
בַּרְווַז	barˈvaz
בריאות	briˈut
סַלַט	saˈlat
לִשְׁלוֹל	liʃˈlol
פִּשְׁתָּן	piʃˈtan
פַּלְגָן	palˈgan
לְהִיפָּעֵר	lehipaˈʔer
הֶיצֵּעַ	hetˈsea
סַךְ	ˈsax
ימי	jaˈmi
רֵאשִׁיתִי	reʃiˈti
משקל	miʃˈkal
כנוע	kaˈnua
מַחֹרַת	moxoˈrat
פֶּסֶל	ˈpesel
למספר	lemasˈper
בֵּן	ˈben
לְפַסֵל	lefaˈsel
כְּתִיבַה	ktiˈva
מַסֵיכַה	maseˈxa
לְשַׁלֵּם	leʃaˈlem
יַתֵד	jaˈted
לְהַעֲלִים	lehaʔaˈlim
לְהִתְגַּלֵּם	lehitgaˈlem
לָהֶם	laˈhem
הַרְגָּעָה	hargaˈʔa
חַלִילִית	xaliˈlit
לְהִתְפַּאֵר	lehitpaˈʔer
מֵלַח	ˈmelax
קריזה	kˈriza
לְעַפְעֵף	leʔafˈʔef
פִּיקַדוֹן	pikaˈdon
מגף	maˈgaf
בַּקָּר	baˈkar
מקובל	mekuˈbal
סינון	siˈnun
ללבלב	lelavˈlev
לשוות	leʃaˈvot
משבצת	miʃˈbetset
בְּנִייַה	bniˈja
מְפַקֵחַ	mefaˈkeax
איכשהו	ˈeixʃehu
הִצְטוֹפְפוּת	hitstofeˈfut
מַעֲרָכָה	maʔaraˈxa
מְטוּרְלַל	meturˈlal
מרוכב	meruˈkav
מִנְסַרַה	minsaˈra
כפכף	kafˈkaf
להפיץ	lehaˈfits
לְמַצֵּב	lematˈsev
לְהִיסָּפוֹת	lehisaˈfot
בוז	ˈbuz
להסתגר	lehistaˈger
בִּקֹּרֶת	biˈkoret
מֵלֵט	ˈmelet
הַהֶסְכֵּם	haesˈkem
שָׁבוּעַ	ʃaˈvua
לְזַנוֹת	lezaˈnot
לֶאֱכוֹף	leʔeˈxof
אִירְגּוּן	irˈgun
תוֹף	ˈtof
לִלְחוֹךְ	lilˈxox
בְּכִייַה	bxiˈja
מְאַמֵן	meʔaˈmen
מְנוּחָה	menuˈxa
יְסוֹדִיּוּת	jesodiˈjut
סדנה	sadˈna
הַטִפּוּל	hatiˈpul
פַּמוֹט	paˈmot
פרטני	partaˈni
להשיב	lehaˈʃiv
לִסְבּוֹר	lisˈbor
להפטיר	lehafˈtir
בניגוד	beniˈgud
לַזוּן	laˈzun
לְהַשְׁקוֹת	lehaʃˈkot
מצרי	mitsˈri
בְּתוֹר	beˈtor
לְדַמְייֵן	ledamˈjen
לְסַגֵּף	lesaˈgef
יֶזַע	ˈjeza
תיווי	tiˈvuj
הוּלֵדֵת	huˈledet
לְהֵיחָרֵט	lehexaˈret
בִּקְבִיעוּת	bikviˈʔut
פור	ˈpur
חזרת	xaˈzeret
פַּרְווָתִי	parvaˈti
מרגש	marˈgaʃ
חוֹמְרַה	xomˈra
להתקרר	lehitkaˈrer
זֶבְּרָה	ˈzebra
בֵּינְלְאוּמִּי	benleʔuˈmi
מַמוּתַה	maˈmuta
עָגוּם	aˈgum
לִפְגוֹשׁ	lifˈgoʃ
תֵיאוֹרְיַה	teʔorˈja
לגשש	legaˈʃeʃ
סְפִירַה	sfiˈra
לחתן	lexaˈten
להתייפייף	lehitjafˈjef
מַקָּף	maˈkaf
מַפָּה	maˈpa
חַשׁוּךְ	xaˈʃux
אדמת	aˈdemet
לְכַכֵּב	lexaˈkev
סבור	saˈvur
הפרש	hefˈreʃ
עניין	inˈjan
מְצוּנָּף	metsuˈnaf
נִיזוּם	niˈzum
מַשְׁדֵר	maʃˈder
כֵּפֵל	ˈkefel
רציני	retsiˈni
חִינַם	xiˈnam
לְתַייֵּג	letaˈjeg
תבל	ˈtevel
מצווה	mitsˈva
מְתַקֵּן	metaˈken
לֶאֱפוֹת	leʔeˈfot
מַשַׂאִית	masaˈʔit
מַנוֹעַ	maˈnoa
כָּשִׁיר	kaˈʃir
קַטַן	kaˈtan
כֵּבֵשׂ	ˈkeves
יוֹנֵק	joˈnek
אֶמְצָעוּת	emtsaˈʔut
סֶלַע	ˈsela
לְבַייֵּת	levaˈjet
לַחַטוֹא	laxaˈto
בקע	ˈbeka
סְגַן	sˈgan
הוגן	hoˈgen
המשך	hemˈʃex
לִסְתוֹם	lisˈtom
לְתַווֵּךְ	letaˈvex
לְנַגֵן	lenaˈgen
הַכְחַדַה	haxxaˈda
כְּאִילּוּ	keˈʔilu
מעצב	meʔatˈsev
אגס	aˈgas
שְׁתִיקָה	ʃtiˈka
מזמור	mizˈmor
הֲשָׂמָה	hasaˈma
זקפה	zikˈpa
צֵנַע	tˈsena
מְפַגֵר	mefaˈger
קִצְבָּה	kitsˈba
לִסְפּוֹן	lisˈpon
לנטוף	linˈtof
לְבָאֵר	levaˈʔer
חַמָּנִית	xamaˈnit
לְהִזְדַמֵן	lehizdaˈmen
קִישׁוּט	kiˈʃut
כְּפַר	kˈfar
עצלן	atsˈlan
התפייסות	hitpajˈsut
חֲשָׁאִיּוּת	xaʃaʔiˈjut
הַסָּחָה	hasaˈxa
בָּרֶקֶת	baˈreket
לְהַבְשִׁיל	lehavˈʃil
לְהִתְפַּרְפֵּר	lehitparˈper
סָחוּט	saˈxut
תַקְרִיב	takˈriv
לַעַמוֹל	laʔaˈmol
אַנִי	aˈni
לְהֵירָחֵץ	leheraˈxets
כַּעַס	ˈkaʔas
לִבְדּוֹק	livˈdok
פְּרַקְלִיטוּת	prakliˈtut
מזומן	mezuˈman
הזדהות	hizdaˈhut
לְהִתְפַּרֵס	lehitpaˈres
אַכְזַרִיוּת	axzariˈjut
הַבִּיטּוּחַ	habiˈtuax
לִקְפּוֹא	likˈpo
רעם	ˈraʔam
כִּיתַה	kiˈta
הַדְגַמַה	hadgaˈma
לַעַשׂוֹת	laʔaˈsot
יַלְדָּה	jalˈda
נַגַד	naˈgad
לְפַלֵל	lefaˈlel
להרגיל	leharˈgil
נאצל	neʔetˈsal
גרב	ˈgerev
מַרִית	maˈrit
לוּלָב	luˈlav
נוֹחַ	ˈnoax
לסמל	lesaˈmel
הִתְקָרְבוּת	hitkarˈvut
הִתְנַדְבוּתִי	hitnadvuˈti
מְקוֹמוֹת	mekoˈmot
מאוד	meˈʔod
אַמִיתִי	amiˈti
נכון	naˈxon
צֶדֶק	tˈsedek
זיגוג	ziˈgug
מחנק	maxaˈnak
שֵׁהַצַעַת	ʃehatsaʔat
נִיצּוֹלֶת	nitˈsolet
להצטרף	lehitstaˈref
נקיק	naˈkik
להתעודד	lehitʔoˈded
נוּרַה	nuˈra
רִשְׁרוּשׁ	riʃˈruʃ
לחלוטין	laxaluˈtin
שׁוֹטֵה	ʃoˈte
זמזם	zamˈzam
מִשְׁנָה	miʃˈna
טופס	ˈtofes
סָלָט	saˈlat
להזיע	lehaˈzia
לְהֵיאַבֵק	leheʔaˈvek
לְהִידָּפֵס	lehidaˈfes
יוּחַסִין	juxaˈsin
חֲנוּת	xaˈnut
בבקשה	bevakaˈʃa
צמצם	tsamtˈsam
קֵצֵב	ˈketsev
תְּסִיסָה	tsiˈsa
חוֹבֶרֶת	xoˈveret
שְׁבוּעַייִם	ʃvuˈʔajim
שמנמן	ʃmanˈman
לְהִתְהַפֵּךְ	lehithaˈpex
פֵּתֵק	ˈpetek
לְהִתְרַכֵּב	lehitraˈkev
לקשור	likˈʃor
להידום	lehiˈdom
לִשְׁדּוֹד	liʃˈdod
מהלך	mahaˈlax
לחתור	laxˈtor
שַׁדְכַן	ʃadˈxan
לַשַׁווְא	laˈʃav
תוקפנות	tokfaˈnut
מוּרְכַּב	murˈkav
להזמין	lehazˈmin
עַבֵה	aˈve
עָצוּר	atˈsur
אֵלַא	ˈela
רסק	ˈresek
נְדַבַה	nedaˈva
משונה	meʃuˈne
מֶקֶק	ˈmekek
לְתַאַרֵךְ	letaʔaˈrex
לצעון	litsˈʔon
מַסְנֵן	masˈnen
לְעַצְבֵּן	leʔatsˈben
מַמְלַכְתִי	mamlaxˈti
טַלֵבּ	taˈleb
לגמרי	leˈgamre
הַכֵּסֵף	haˈkesef
רעף	ˈraʔaf
הִתְפָּרְסוּת	hitparˈsut
הארקה	haʔaraˈka
לַחְבּוֹק	laxˈbok
הסכם	hesˈkem
חָטוּף	xaˈtuf
לְהִיקַצֵר	lehikatˈser
נִיקּוּד	niˈkud
לאייר	leʔaˈjer
לנסר	lenaˈser
הַלְווַאי	haleˈvaj
סְתַגְּלָן	stagˈlan
לְהַנְפִּיק	lehanˈpik
פעיל	paˈʔil
לגדר	legaˈder
הוצאה	hotsaˈʔa
לְלַעְלֵעַ	lelaʔaˈlea
לפזר	lefaˈzer
תלוש	tˈluʃ
לָבוֹא	laˈvo
לְמַלֵּט	lemaˈlet
לְהַשִּׂיא	lehaˈsi
הַנְשַׁמַה	hanʃaˈma
דַּרְגָּה	darˈga
פיצול	pitˈsul
מָצוֹר	matˈsor
בקלות	bekaˈlut
וסת	ˈveset
טירונות	tiroˈnut
לְזַייֵּן	lezaˈjen
לְהִתְהַדֵּר	lehithaˈder
הוֹי	ˈhoj
חֲבֵרַי	xaveˈraj
תידרוך	tidˈrux
פַּעִיל	paˈʔil
להיאמד	leheʔaˈmed
לְאַט	leˈʔat
לְהִתְעַרְבֵּל	lehitʔarˈbel
מִסְחַר	misˈxar
בְּעִקְבוֹת	beʔikˈvot
קַלִיט	kaˈlit
אֶזְרָחִי	ezraˈxi
לִפְתֹּוחַ	lifˈtoax
יָגוֹר	jaˈgor
עַכְשַׁיו	axˈʃav
פֶּתַע	ˈpeta
הַשָּׁנָה	haʃaˈna
להיבדל	lehibaˈdel
להתחלש	lehitxaˈleʃ
חַמוּשׁ	xaˈmuʃ
נִיצוּחַ	nitˈsuax
להועיל	lehoˈʔil
עַמִיד	aˈmid
צֶנַע	tˈsena
לְהִיווַּלֵד	lehivaˈled
לְהִתְווַדֵּעַ	lehitvaˈdea
מֵרְחַק	merˈxak
רעש	ˈraʔaʃ
שְׂכִירוּת	sxiˈrut
בְּחִירַה	bxiˈra
לְהִתְכַּתֵּב	lehitkaˈtev
פַּרְנַס	parˈnas
לתווך	letaˈvex
נגיד	naˈgid
למשכן	lemaʃˈken
להיחרץ	lehexaˈrets
שָׂכִיר	saˈxir
להעוות	lehaʔaˈvot
נַקְנִיקִייַה	naknikiˈja
לְהִשְׁתַּפֵּל	lehiʃtaˈpel
דַבִיק	daˈvik
מִזְרַחַה	mizˈraxa
תָּשׁוּשׁ	taˈʃuʃ
הִיפּוּךְ	hiˈpux
שינה	ʃeˈna
גשוש	gaˈʃoʃ
נֵטֶל	ˈnetel
נַזִיר	naˈzir
גרעיני	garʔiˈni
שִׁיעוּל	ʃiˈʔul
שִׁירְשׁוּר	ʃirˈʃur
לרווח	leraˈveax
לְהַקְדִּיחַ	lehakˈdiax
לְהִתְבַּייֵשׁ	lehitbaˈjeʃ
מְחוּיָּב	mexuˈjav
שׁוּתָּף	ʃuˈtaf
לְהִתְרַאוֹת	lehitraˈʔot
שׁוֹשַׁן	ʃoˈʃan
לְמַחוֹת	lemaˈxot
ממשלתי	memʃalˈti
שֶׁהַצָּעַת	ʃehatsaʔat
לטפס	letaˈpes
סִגְנוֹן	sigˈnon
שַׂעִיר	saˈʔir
יַקִּירָה	jakiˈra
בְּרֵיכָה	breˈxa
לְהִתְעַבֵּר	lehitʔaˈber
לְמַטַה	leˈmata
מזנון	mizˈnon
למכור	limˈkor
אַפֵלַה	afeˈla
דרגה	darˈga
מְלוּכְלַךְ	meluxˈlax
לְבַדוֹת	levaˈdot
גולם	ˈgolem
שִׁיקּוּי	ʃiˈkuj
לייפות	lejaˈpot
פנינה	pniˈna
בּוֹגְדַנִי	bogdaˈni
מִזְמַן	mizˈman
סביר	saˈvir
להטמיע	lehatˈmia
עַשֵׁשֵׁת	aˈʃeʃet
למחול	limˈxol
תּוֹר	ˈtor
תוֹרַשַׁה	toraˈʃa
להיחסך	lehexaˈsex
מַעַנֵה	maʔaˈne
קדוש	kaˈdoʃ
יַשׁוּב	jaˈʃuv
לְהִתְלַחְשֵׁשׁ	lehitlaxˈʃeʃ
חַזֵרֵת	xaˈzeret
אֱנוֹשׁ	eˈnoʃ
פִּנְקָס	pinˈkas
זוועה	zvaˈʔa
הפרה	hafaˈra
לַחְלוֹב	laxˈlov
להיעמד	leheʔaˈmed
מלונה	meluˈna
ייבוש	jiˈbuʃ
גִּזְעָנוּת	gizʔaˈnut
הִזְדַּמְּנוּת	hizdamˈnut
משיח	maˈʃiax
לְזַנֵּק	lezaˈnek
לִידּוֹר	liˈdor
נִיפּוּץ	niˈputs
איוורור	ivˈrur
לְהָרִיעַ	lehaˈria
לטבוח	litˈboax
הֵקְשֵׁר	hekˈʃer
שעיר	saˈʔir
לְקַלֵף	lekaˈlef
שְׁנִיָּיה	ʃniˈja
להיזור	lehiˈzor
לנסור	linˈsor
הַתְפַּלַה	hatpaˈla
לִצְדּוֹק	litsˈdok
חָרוּץ	xaˈruts
מִידַה	miˈda
לְהַעֲרִיךְ	lehaʔaˈrix
לִרְכַּב	lirˈkav
גִּזְעָן	gizˈʔan
קַמוּל	kaˈmul
בֵּינְתַייִם	benˈtajim
לְהִתְקַפֵּל	lehitkaˈpel
ריכוז	riˈkuz
להשתוות	lehiʃtaˈvot
לְסַיֵּם	lesaˈjem
תיעוד	tiˈʔud
מעברון	maʔavaˈron
לְהִתְפַּתֵל	lehitpaˈtel
סלט	saˈlat
לִפְעֹול	lifˈʔol
לפלוט	lifˈlot
דעת	ˈdaʔat
להיקרע	lehikaˈrea
תַחְלוּפַה	taxluˈfa
לְהִתְקַייֵּם	lehitkaˈjem
הוֹדָיָה	hodaˈja
יסעור	jasˈʔur
תַּדְרִיךְ	tadˈrix
רַטוֹב	raˈtov
חומה	xoˈma
לָזוּז	laˈzuz
העלבה	haʔalaˈva
פַּרְדֵס	parˈdes
לָגִיחַ	laˈgiax
שְׁנַתִי	ʃnaˈti
בעניין	beʔinˈjan
לַחַן	ˈlaxan
קַנָּא	kaˈna
הִתְרַפְּסוּת	hitrapˈsut
קְהִילָּה	kehiˈla
לִרְעוֹשׁ	lirˈʔoʃ
להיטבע	lehitaˈvea
אגן	aˈgan
והן	vˈhen
לְהַקְסִים	lehakˈsim
מסנן	masˈnen
מְדוּיָּק	meduˈjak
דַחוּק	daˈxuk
לְהִיזוֹר	lehiˈzor
אֲנָחָה	anaˈxa
גַרְזֵן	garˈzen
לאגוף	leʔeˈgof
לְאַרְגֵּן	leʔarˈgen
מִבְטָא	mivˈta
לְהַשְׁבִּיעַ	lehaʃˈbia
מוּסַךְ	muˈsax
לְהֵיעַרֵךְ	leheʔaˈrex
גאה	geˈʔe
האחרון	haʔaxaˈron
שפיות	ʃfiˈjut
גַלְגַל	galˈgal
לגנוז	ligˈnoz
מוכרח	muxˈrax
דַּקּוּת	daˈkut
שַׁייָּךְ	ʃaˈjax
הל	ˈhel
חֶלְקִיק	xelˈkik
בִּדְחִיפוּת	bidxiˈfut
רַצוֹן	ratˈson
מְדוּפְּלָם	medupˈlam
לעמעם	leʔamˈʔem
פָּעִיל	paˈʔil
להפקיר	lehafˈkir
לנגוס	linˈgos
תָּכוּף	taˈxuf
להילחץ	lehilaˈxets
תְנוּעַה	tnuˈʔa
להתרגש	lehitraˈgeʃ
מַפַּץ	maˈpats
אמה	aˈma
מנסרה	minsaˈra
סלב	seˈleb
יְצִירָתִי	jetsiraˈti
מַלְגֵז	malˈgez
טָעִים	taˈʔim
להתלהם	lehitlaˈhem
אָמִין	aˈmin
ייתכן	jitaˈxen
פצצה	ptsatˈsa
לְהַחֲרִים	lehaxaˈrim
אפור	aˈfor
יתרון	jitˈron
לתרגל	letarˈgel
לתסוס	litˈsos
שַׁלְפּוּחִית	ʃalpuˈxit
השתתפות	hiʃtatˈfut
אַכְזַרִי	axzaˈri
לַחְדּוֹר	laxˈdor
שַׁמַאי	ʃaˈmaj
בְּהֵחְלֵט	behexˈlet
לְהַטְעִים	lehatˈʔim
להיכחד	lehikaˈxed
יַשַׁר	jaˈʃar
עָצוּם	atˈsum
לְהַסְרִיט	lehasˈrit
פִּשְׁתָּה	piʃˈta
לְהִתְרַשֵׁל	lehitraˈʃel
לְסַיֵים	lesaˈjem
צְפַרְדֵעַ	tsfarˈdea
לחן	ˈlaxan
מִסְפּוֹא	misˈpo
מוּחְלָט	muxˈlat
לְהֵירַגֵעַ	leheraˈgea
לְלַגְלֵג	lelagˈleg
קֶרַע	ˈkera
לְהַפְלִיל	lehafˈlil
יִיצוּג	jitˈsug
לְהִתְבַּגֵר	lehitbaˈger
מַשְׁקֵה	maʃˈke
לחזק	lexaˈzek
הִתְעַלְפוּת	hitʔalˈfut
לפסטר	lefasˈter
מֵלְקַחַת	melˈkaxat
תּוֹלָדָה	tolaˈda
עוֹרְלַה	orˈla
חָבֵר	xaˈver
מִכְלוֹל	mixˈlol
להסתלסל	lehistalˈsel
לְהַרְגִּיז	leharˈgiz
מטעם	matˈʔam
לְעַווֵּר	leʔaˈver
לַהֲרוֹת	lahaˈrot
שקד	ʃaˈked
להיסדק	lehisaˈdek
לִפְגּוֹעַ	lifˈgoa
מרקר	ˈmarker
לִשְׁתוֹל	liʃˈtol
לספר	lesaˈper
אַתַר	aˈtar
צַפוֹן	tsaˈfon
הוֹרֵה	hoˈre
צְחוֹר	tsˈxor
אָשֵׁם	aˈʃem
צַמְרִי	tsamˈri
להביס	lehaˈvis
יִיסּוּד	jiˈsud
קָקָאוֹ	kaˈkaʔo
לְהִיכַּרֵת	lehikaˈret
תחילית	txiˈlit
יַכְטַה	ˈjaxta
לְגַנְדֵּר	leganˈder
רקב	raˈkav
חמדן	xamˈdan
בִּיוּב	biˈjuv
לְהִתְעַצֵּם	lehitʔatˈsem
קטנטן	ktanˈtan
לְמַמֵּן	lemaˈmen
רצוי	ratˈsuj
חַצַץ	xatˈsats
שִׁיגָּיוֹן	ʃigaˈjon
זְווָעָתִי	zvaʔaˈti
אָרוֹךְ	aˈrox
לִתְפּוֹחַ	litˈpoax
כלי	kˈli
לְהִתְעַלֵּק	lehitʔaˈlek
סוכה	suˈka
דְחִיקַה	dxiˈka
אַזְכָּרָה	azkaˈra
בַּצּוֹרֶת	batˈsoret
אֵשֶׁל	ˈeʃel
לְהַדֵּק	lehaˈdek
מלכתחילה	milexatxiˈla
נְאוּם	neˈʔum
תצפית	tatsˈpit
ריפוי	riˈpuj
לעקוד	laʔaˈkod
לְהַסְפִּיד	lehasˈpid
נִשְׂגָּב	nisˈgav
לְקַמֵט	lekaˈmet
עֵשֶׂב	ˈesev
אוֹסֶף	ˈosef
מתקפה	mitkaˈfa
תַעַסוּקַה	taʔasuˈka
שלב	ʃaˈlav
חַלוֹם	xaˈlom
קיפאון	kipaˈʔon
לטפח	letaˈpeax
סְטוּדֵנְט	stuˈdent
היקלטות	hikalˈtut
מְסִיבָּה	mesiˈba
לְאַפְייֵן	leʔafˈjen
שְׁבָב	ʃˈvav
להסמיק	lehasˈmik
אחר	aˈxer
שחוט	ʃaˈxut
סתגלן	stagˈlan
מְשׁוּפָּע	meʃuˈpa
לְהֵיחַלֵק	lehexaˈlek
רצועה	retsuˈʔa
דֶּגֶל	ˈdegel
אמנה	amaˈna
לפסל	lefaˈsel
מַסָּע	maˈsa
שַׁווְא	ˈʃav
קל	ˈkal
לִשְׁרוֹק	liʃˈrok
התבטאות	hitbatˈʔut
מְתַקֵן	metaˈken
להיפלג	lehipaˈleg
מִילֵנְיוּם	miˈlenjum
להפריד	lehafˈrid
מרחב	merˈxav
חַצֶּבֶת	xatˈsevet
גב	ˈgav
לְהַגְרִיל	lehagˈril
גחלילית	gaxliˈlit
עש	ˈaʃ
להצטופף	lehitstoˈfef
לְהִזְדַעֵק	lehizdaˈʔek
לְהַפְצִיר	lehaftˈsir
לִסְתּוֹם	lisˈtom
מוּזְכַּר	muzˈkar
אַשְׁלָג	aʃˈlag
לְקַנֵּא	lekaˈne
חתן	xaˈtan
עִימּוּת	iˈmut
לְהֵיאָגֵר	leheʔaˈger
נוצרי	notsˈri
מַאֲסָר	maʔaˈsar
זעיר	zaˈʔir
זדון	zaˈdon
רַחַמִים	raxaˈmim
תְּכוּלָה	txuˈla
להשתפך	lehiʃtaˈpex
השנה	haʃaˈna
לְהִינַצֵל	lehinatˈsel
מִידַבֵּק	midaˈbek
רֵמֵשׂ	ˈremes
להפסיק	lehafˈsik
להיצבע	lehitsaˈvea
לְנַטְרֵל	lenatˈrel
להנפיק	lehanˈpik
לילך	liˈlax
למיד	laˈmid
להקניט	lehakˈnit
צמוק	tsaˈmuk
השמנה	haʃmaˈna
ביצירתיות	bitsiratiˈjut
קַייָּם	kaˈjam
סְבִיבַה	sviˈva
לסקרן	lesakˈren
לְהַחֲמִיץ	lehaxaˈmits
גָּזִיר	gaˈzir
בושם	ˈbosem
גַלַאי	gaˈlaj
שמרני	ʃamraˈni
פֵּסֵל	ˈpesel
התייצבות	hitjatsˈvut
עד	ˈed
נאקה	neʔaˈka
חַרִישִׁי	xariˈʃi
סוכר	suˈkar
טֵכְנִיקַה	ˈtexnika
נַגָּד	naˈgad
הִינַצְלוּת	hinatsˈlut
לְהִתְבַּלֵט	lehitbaˈlet
צַרְחַן	tsarˈxan
כָּרֶגַע	kaˈrega
מישהי	ˈmiʃehi
להלביש	lehalˈbiʃ
ייחוד	jiˈxud
כר	ˈkar
קטר	kaˈtar
חיבור	xiˈbur
הֵפְסֵק	hefˈsek
דגן	daˈgan
עקר	aˈkar
מוֹלֵדֵת	moˈledet
לְהִסְתַּכֵּן	lehistaˈken
מדיניות	mediniˈjut
אַחְזָקָה	axzaˈka
ספן	saˈpan
קִישּׁוּא	kiˈʃu
מְאוּחַד	meʔuˈxad
מָתַיְשֶׁהוּ	maˈtajʃehu
לְהִתְקַרֵשׁ	lehitkaˈreʃ
דִיקְדוּק	dikˈduk
יַבֵּשֵׁת	jaˈbeʃet
להבריח	lehavˈriax
גחליל	gaxˈlil
יצירתי	jetsiraˈti
אַתְ	ˈat
קבלה	kabaˈla
להשתמע	lehiʃtaˈmea
מְדוּרָה	meduˈra
מִנְזַר	minˈzar
לִרְטוֹט	lirˈtot
אישי	iˈʃi
לשרת	leʃaˈret
הִזְדַּווְּגוּת	hizdavˈgut
פּוֹעֵל	poˈʔel
לנגוד	linˈgod
בָּחוּץ	baˈxuts
נתק	ˈnetek
שְׂמִיכַה	smiˈxa
אַחְזַקַה	axzaˈka
לטרוף	litˈrof
לבטל	levaˈtel
חוּפְשָׁה	xufˈʃa
לְזַרְזֵף	lezarˈzef
תוּגַה	tuˈga
לְהַעַדִיף	lehaʔaˈdif
עָשִׁיר	aˈʃir
חרסינה	xarˈsina
לתפוח	litˈpoax
לְרַווֵּחַ	leraˈveax
לְבַעְבֵּעַ	levaʔaˈbea
תַסְנִין	tasˈnin
לסטור	lisˈtor
קַרְסוֹל	karˈsol
לְקָרֵר	lekaˈrer
הבסה	havaˈsa
לְסַחְרֵר	lesaxˈrer
בֶּרֶךְ	ˈberex
עָקָר	aˈkar
לְהִתְעַבְרֵת	lehitʔavˈret
הִשְׁתַעְבְּדוּת	hiʃtaʔabˈdut
