דִּ מְ י וֹן	di mˈ j on
לְ תַ א ֲ רֵ ךְ	le ta ʔ aˈ re x
לִ מְ ל וֹ ךְ	li mˈ l o x
חַ רְ סִי נַה	xa rˈ si na
ח נ י י ה	xa n iˈ j a
לְ הֵי עַ כֵ ר	le he ʔaˈ xe r
לִנְ ס וֹ ךְ	linˈ s o x
בַּ לְ שָׁ ן	ba lˈ ʃa n
צַ בַ א	ts aˈv a
לְ הַ לִי ט	le haˈ li t
לְ הִ ימַ ח וֹת	le hi maˈ x ot
לְ חַ סֵּ ן	le xaˈ se n
לְ הִ יפַּ סֵ חַ	le h ipaˈ se ax
ל ה ית מ ר	le hi ta ˈme r
עַ י יֵ פ וּת	a j eˈ f ut
ל הת חז ר	le hit xaˈze r
לְ זַ עֵ ר	le zaˈ ʔe r
חַ שְׁ מָ לַא י	xa ʃ maˈ la j
לַ חְ כּוֹר	la xˈ kor
ל ה ש ק י ע	le h aʃˈ k i a
ל הת ג ל ע	le hit g aˈle a
לְ הִ תְ עַ שּׁ ֵ ר	le hi tʔ aˈ ʃ e r
לְ הִ ת ְמַ זּ ֵ ל	le hi t ma ˈz e l
הת ר ס ק ות	hit r asˈ k ut
א ס ט ר ו נ ומי ה	a s t r oˈ n omj a
ק מו ר	kaˈ mu r
לֶ א ֱ פ וֹ ף	le ʔ eˈ f o f
לְ שַׁ וּ וֹת	le ʃaˈ v ot
לְ קַ לֵּ ל	le kaˈ le l
ל הת ק ב ל	le hit k aˈbe l
לְ פַ טְ פֵּ ט	le fa tˈ pe t
חֵ ימַ ר	xe ˈma r
לְ אַ י יֵּ ר	le ʔa ˈ je r
ת ו ם	ˈt o m
הַ פְ שָׁ טָ ה	ha f ʃaˈ t a
ב ק ר ת	b iˈk ore t
לְ הַ חֲ רִי ב	le ha xaˈ ri v
ק פי צ ה	k fi tˈs a
לְ פָ אֵ ר	le faˈ ʔe r
ל הת א ב ן	le hitʔ a ˈbe n
לְ שָׁ רֵ ת	le ʃaˈ re t
זַ נַ ב	zaˈ na v
מי ט ב י	me ta ˈv i
לְ הִ צְ טַ י יֵּ ר	le hi ts ta ˈ je r
ס וּ כָּ ה	s uˈ k a
תַ סְ בִּי ךְ	ta sˈ bi x
ל ה יט מ א	le hi ta ˈm e
סְ טִי יַה	s tiˈj a
הִ תְי יַ קְ ר וּת	h itj a kˈ r ut
הַ גְ בָּ לָ ה	ha g baˈ l a
זִ י נּ וּ ק	zi ˈ n u k
לְ הִ תְ עַ לֵּ ק	le hi tʔ aˈ le k
יצ י ר ה	jets iˈ r a
לְ הִ תְי יַ לֵּ ד	le h itj aˈ le d
ל ה ס פי ג	le h asˈ pi g
ק וּ פַּה	k uˈ pa
לְ הִ צְ טַ נֵ ן	le hi ts taˈ ne n
הִ תְ אַ גְּ ד וּת	hi tʔ a g ˈd ut
ל ה מ ר י א	l e h amˈ r i
ל ה ש מי ט	le h aʃˈ mi t
שָׁ ה וּ י	ʃaˈ h u j
ק וּ פָּ ה	k u ˈp a
יָ עִיל	jaˈ ʔil
ש ק י פ ות	ʃ k iˈ f ut
י כ ט ה	ˈj ax t a
לְ הִ יצַ רֵ ב	le h itsaˈ re v
לְ גָ רֵ ף	le gaˈ re f
אַ חְ רַא י	a xˈ ra j
לִ רְ ט וֹן	li rˈ t on
רָ א שִׁ י	ra ˈ ʃ i
סֵ תֶ ר	ˈse te r
מְ תִי ח וּת	me tiˈ x ut
מל כ ות	malˈ x ut
ל נ ק ז	le na ˈke z
חִ יס וּ ל	xi ˈs u l
מַ צ ֵ גֵ ת	ma tˈs e ge t
ל ל פ ף	le la ˈpe f
לְ רַ דֵ ד	le raˈ de d
מְ דִי דַה	me diˈ da
ל ר כ וס	l irˈ k os
לְ הִ שְׁתַּ כְ לֵ ל	le hi ʃta xˈ le l
לַ ח וּ ד	laˈ x u d
כֵּ נֵ ס	ˈke ne s
ל ז פ ת	le z aˈpe t
י שי בה	j eʃ iˈva
לְ הַ סֵ ס	le haˈ se s
לְ הִ ינ ָּ טֵ עַ	le h in aˈ te a
שכ ינ ה	ʃx iˈn a
לְ הִ שְׁתַּ רְ בֵּ ב	le hi ʃta rˈ be v
פר ע וש	parˈ ʔ oʃ
ק ס ו ם	kaˈ s u m
מֶ זַ ח	ˈme za x
אַ בְ זַ ם	a vˈ za m
לְ הַ פְ חִ יד	le ha fˈ x id
זִ י מּ וּ ן	zi ˈ m u n
לְ חַ י יֵּ ךְ	le xa ˈ je x
נֶ הָ ג	neˈ ha g
ר וֹ כְ סַ ן	r o xˈ sa n
יַ לְ דַה	ja lˈ da
א ז ר ח ות	e z raˈ x ut
חֲ תַ לְ תּ וּ ל	xa ta lˈ t u l
אַ כְ סַ נְ יָ ה	a xˈ sa n j a
ל ח ל ח ל	le xa l ˈxe l
מ ע צ מה	ma ʔ atsaˈ ma
נַ קִי	naˈ ki
חֲ ל וּ פָ ה	xa l uˈ f a
ט וֹ בַה	t oˈ va
ת ר גי ל	ta rˈ gi l
עָ בָ ר	aˈ va r
בַּא ֲ רִי כ וּת	baʔ a riˈ x ut
ל ה ש תע מ ם	le hi ʃ ta ʔaˈme m
שִׁי וּ וּ ק	ʃiˈ v u k
בְּ שֵׁ ל	beˈ ʃe l
קְ רִי נַה	k riˈ na
חַ מַ נִי ת	xa maˈ ni t
קַ דְ מ וֹן	ka dˈ m on
גַ ד וּ שׁ	gaˈ d u ʃ
לְ הַ קְ צִי עַ	le ha k tˈsi a
א כי ל ה	a xiˈ l a
מְ לָ א כ וּ תִי	me l a x uˈ ti
לְ שַׁ חְ זֵ ר	le ʃa xˈ ze r
ש דר ה	s deˈr a
הֵ כְ שֵׁ ר	he xˈ ʃe r
לְ הִ ישַׁ פֵ ךְ	le h iʃaˈ fe x
ג ז ע י	g izˈ ʔ i
פור ע	poˈre a
נ יט ור	n iˈt ur
ש ל י שי	ʃ l iˈ ʃi
ח ק י י ן	xa kˈ j a n
מִ שְׁתַּ כֵּ ן	mi ʃtaˈ ke n
לְ הִ ידַ לֵ ק	le hi daˈ le k
ל צ מ וא	l itsˈ m o
ס פי ר ה	s fiˈ r a
ל מו ל	la ˈmu l
חֵ לֶ ק	ˈxe le k
מְ פ וֹ אַ ר	me f oˈ ʔa r
סִי עַ ת	siˈ a t
לְ הַט ְ בִּי ל	le hat ˈ bi l
סְ טַ טִי סְ טִי קַה	s taˈ ti s ti ka
ל טע ו ת	l itˈʔ o t
ק ל וש	kaˈ l uʃ
חִ י טַה	xi ˈ ta
שְׁ לִי שׁ	ʃˈ li ʃ
כ ר ית	kaˈ r it
כַּ נִּ רְ אֶ ה	ka n irˈ ʔ e
חַ תַ ת	xaˈ ta t
זַ גַ ג	zaˈ ga g
חַ שְׂ פַ ן	xa sˈ fa n
לְ לַ בֵּ ב	le laˈ be v
שָׁ בָ ץ	ʃaˈ va ts
לְ מַ קּ ֵ ר	le maˈ k e r
נ ע ו ל	na ˈʔ u l
ט כ נ ו ל וג י ה	te x n oˈ l og j a
לְ הִ תְפַּ תֵ חַ	le hi tpaˈ te ax
ג מי ש	g aˈmi ʃ
ל ס ד ר	le sa ˈde r
לְ הִ תְ ר וֹ מֵ ם	le h it r oˈ me m
ב יש ו ל	b iˈʃ u l
תַּ קְ צִי ר	ta k tˈsi r
לְ עַ טֵ ר	le ʔaˈ te r
הַ מְ לַ צַה	ha m la tˈsa
ע נ וו ה	a na ˈv a
תְ עִי יַה	te ʔiˈ ja
ת ְשׂ וּ מַה	t s uˈ ma
ח נ ות	x aˈn ut
לְ הִ שְׁתַּ ט ּוֹ ת	le hi ʃtaˈ t o t
לְ שַׁ מֵּ ן	le ʃaˈ me n
לְ הִ תְי יַ רֵא	le h itj aˈ re
טֵלֵ ף	ˈtele f
לִ פְ ל וֹ שׁ	li fˈ l o ʃ
בַּ מַּ א י	baˈ m a j
חֹ ופ ֵ שׁ	xo ˈf e ʃ
מַ דִּ י ם	maˈ d i m
ל ה ר פ ו ת	le h arˈ p o t
קֵ י בָ ה	ke iˈ v a
ס ג נ ו ן	s igˈ n o n
ל י יצ ג	le j atˈse g
מְ סִי בַּה	me si ˈba
לְ הַ סִי עַ	le haˈ si a
לַ שִׁי ר	laˈ ʃi r
לְ הַ פְ גִּ י עַ	le ha fˈ g i a
מְ קַ דֵ ם	me kaˈ de m
סַ י יַ ף	saˈ j a f
מִ לְ גָּ ה	mi l ˈg a
מ וּ כְ רָ ח	m u xˈ ra x
כִּי נּ וּ י	kiˈ n u j
עַ ק וֹ ב	aˈ k o v
לִנְ פּ וֹ שׁ	linˈ p o ʃ
ל ה י פ ק ח	le h i pa ˈke ax
א ב ט י פ וס	a v ˈt i p us
לְ הִ סְ תּ וֹ בֵ ב	le hi s t oˈ ve v
מֵ עַ כְ שָׁ י ו	me ʔa xˈ ʃ a v
לְ הִ צְ טַ י יֵ ן	le hi ts taˈ j e n
ידי י ם	jaˈdaj i m
ל ז ר ג ג	le z arˈ ge g
וַ ע ֲ דָ ה	va ʔ aˈ d a
ת ש ומ ה	t s uˈm a
הִ תְ אַ גְ ד וּת	hi tʔ a gˈ d ut
מ נ ח ה	mi nˈ x a
נַ גָּ ח	naˈ ga x
הַ יִ שְׂ רְ אֵ לִי ת	ha ji s re ʔeˈ li t
הַ קְ פַּ דַה	ha k paˈ da
לְ גַ רֵ ף	le gaˈ re f
מֵ תֵ ג	ˈme te g
חַ קְ י יָ ן	xa kˈ j a n
חִ י ל וּ ף	xi ˈ l u f
ל ר ג ו ם	l irˈ g o m
ח ב ו י	xa ˈv u j
נֶ פֶ שׁ	ˈne fe ʃ
דּ ְ עִי כָ ה	d e ʔiˈ x a
מִ בְ נֶ ה	mi vˈ n e
מְ קַ רְ קְ עִי ן	me ka r keˈ ʔi n
לִ בְ ח וֹ שׁ	li vˈ x o ʃ
לְ נַ צ ֵ חַ	le na tˈs e ax
ת ְמִי סַה	t miˈ sa
לְ הִ סְ תַ כֵּ ל	le hi s taˈ ke l
מי ות ר	mej uˈta r
טִי וּ חַ	tiˈj u ax
תּ וֹ מֵ ךְ	t oˈ me x
ס ח ר	ˈsa xa r
ל נ כ ש	le na ˈke ʃ
לְ הִ תְ בַּ צֵּ עַ	le h it ba tˈse a
מִ כְ סֵה	mi xˈ se
לְ הִ תְ עַ כֵּ ל	le hi tʔ aˈ ke l
לְ ה וֹ נ וֹת	le h oˈ n ot
ל פ ש ט	le faˈ ʃe t
פִּ טְ פּ וּ ט	pi tˈ p u t
הַ עַ רַ צַה	ha ʔa ra tˈsa
שְׁ כִ יח וּת	ʃ x iˈx ut
מא וד	meˈʔ od
חַ מְ קָ נִי	xa m kaˈ ni
ל פ ש ו ק	l ifˈ s o k
ה סת נ וו ר ות	hi st an veˈ r ut
לְ הַ גְ דִי שׁ	le ha gˈ di ʃ
נַ י יַ ח	naˈ j a x
ל ד ל ד ל	le da lˈ de l
לְ פַ טֵ ר	le faˈ te r
הַ תָּ שָׁ ה	ha taˈ ʃ a
לַ חְ תּ וֹ ם	la xˈ t o m
שי ד ה	ʃiˈ d a
חַ בִי ת	xaˈ vi t
ל ס מ ן	le sa ˈme n
מֵ י כ ַ ל	me ˈ x a l
ל הת פר ע	le hit paˈre a
מַ צוֹ ד	ma tˈso d
חֲ זָ קָ ה	xa zaˈ k a
לְ הִ תְ אַ גֵ ד	le hi tʔ aˈ ge d
לְ אַ פְ נֵ ן	le ʔa fˈ ne n
לְ הִ תְ נ וֹצ ֵ ץ	le h it n otˈs e ts
סֶ פַ ח	ˈse fa x
לְ תַ דְ רֵ ךְ	le ta dˈ re x
רָ ז	ˈra z
אִי וּת	iˈj ut
שָׂ כָ ר	saˈ xa r
ל נה ור	l inˈh or
לְ הִ ת ְקַ י יֵ ם	le hi t kaˈ j e m
לְ הָ בִי א	le ha ˈv i
מִ סְ גֶּרֶ ת	mi sˈ gere t
לְ חַ תּ ֵ ל	le xaˈ t e l
א ד ם	aˈ da m
ל היס ח ט	le his aˈxe t
מַע ַ נַ ק	maʔ aˈ na k
ס ב י ב	sa ˈv i v
ב יט ו י	b iˈt u j
תַה ַפ וּ כַה	tah af u ˈxa
מח נ ק	maxaˈ na k
חַ מָּ נִי ת	xa maˈ ni t
ר ב י ע י	re v iˈ ʔ i
לְ גַ מֵ ד	le gaˈ me d
הַ ת ְקַ פַה	ha t kaˈ fa
ד בר י	d ivˈre j
לְ הַ מְ שִׁ י ךְ	le ha mˈ ʃ i x
נַ גַ ר	naˈ ga r
פ נ י מי	p n iˈ mi
לְ הִ תְפַּ שּׁ ֵ ר	le hi tpaˈ ʃ e r
לִ זְ כּ וֹת	li zˈ k ot
לְ הַ שְׁ ק וֹת	le ha ʃˈ k ot
הִ יג ְ י יֵ נַה	hi g ˈ j e na
מַ חֲ נָ ק	ma xaˈ na k
ל חי י ך	le xaˈj e x
הת ע נ י ינ ות	hitʔ a n j eˈn ut
די ק דו ק	di kˈ du k
תַּ בְ לִי ן	ta vˈ li n
הַ שְׁ מַ נַה	ha ʃ maˈ na
מְ עִי	meˈ ʔi
שי ר ט ו ט	si rˈ t u t
לְ הַ כְ חִ יד	le ha xˈ x id
ל הת ע ש ת	le hitʔ aˈ ʃe t
הִ ת ְחַ סְ נ וּת	hi t xa sˈ n ut
ס וֹ לָ ן	s oˈ la n
לְ טַ רְ פֵּ ד	le ta rˈ pe d
לְ הִ ת ְחַ תֵ ךְ	le hi t xaˈ te x
מַ זָּ ל	maˈ za l
קֵ שֵׁ ב	ˈke ʃe v
ל ה ז ד ק ק	le hi z da ˈke k
לִי מּ וּ ד	liˈ m u d
מְ שׁ וּ כְ לָ ל	me ʃ u xˈ la l
לְ הִ י כָּ פֵ ת	le h i kaˈ fe t
בֵּ ינְ תַי יִ ם	be nˈ taj i m
לְ הִ י ווּ ָ סֵ ף	le h i va ˈ se f
לְ שַׁ קֵ ר	le ʃaˈ ke r
שַׁ כִ י חַ	ʃaˈ x i ax
ד ג	ˈda g
ל פ ז ם	le faˈ ze m
פ ו ל ש	p oˈ le ʃ
לְ הִ ת ְבַּ גֵּ ר	le hi t baˈ ge r
נִי ק וּ י	niˈ k u j
בָּ קָ ר	baˈ ka r
לִ בְ ט וֹ שׁ	li vˈ t o ʃ
ל ס פ וג	l isˈ p og
מְ ס וּ כַּ ן	me s uˈ ka n
לִ סְ ק וֹר	li sˈ k or
ל ה יח ס ך	le h exaˈ se x
ל ש ר ו ץ	l iʃˈ r o ts
ד ל י ל	daˈ l i l
לְ הִ ישַׁ מֵ ר	le h iʃaˈ me r
לְ הַ בְ חִ י ן	le ha vˈ x i n
ע וּ גַה	u ˈ ga
גִּ י ע ְ גּ וּעַ	gi ʔ a ˈ g ua
דִי וּ ק	diˈj u k
מ ע ל ה	ˈm a l a
חִ י מ וּ ם	xi ˈ m u m
ע ור ל ה	o rˈ l a
לִ צְ עוֹ ק	li tsˈ ʔo k
אַ ח וֹ רַה	aˈ x o ra
קַ צ וּ ב	ka tˈs u v
הַ ד וּ ק	haˈ d u k
מ וֹד ֵ ל	m oˈd e l
תָּ ל וּ ל	taˈ l u l
לְ הֵי הַ ג וֹת	le he haˈ g ot
רִ שְׁ מִי	ri ʃˈ mi
לְ י יַ גֵ עַ	le j aˈ ge a
מְ ד וּ רָ ה	me d uˈ r a
שִׁי רְ שׁ וּ ר	ʃi rˈ ʃ u r
ל ה ל ה יט	le h alˈ h it
מָ רִי ר	maˈ ri r
מו ל י ך	moˈ l i x
לְ מַ טָּ ה	leˈ ma t a
סי נ כ ר ו ן	si n kˈ r u n
ל היס ל ל	le hisaˈ le l
אֵ י ר וּ סִי ן	e r u ˈ si n
לְ צוֹ דֵ ד	le tsoˈ de d
ב וד ד	b oˈde d
בְּ דִי קָ ה	b diˈ k a
חֵרֵ ס	ˈxere s
עֵ שֵׂ ר	ˈe se r
ל צ ר ור	l itsˈ r or
ל ס כ ו ם	l isˈ k o m
דַּ רְ גָּ ה	da r ˈg a
בְּ לֵ ייְ זֵ ר	bˈ le j ze r
חֲ מ וֹר	xaˈ m or
תִ לְ י וֹן	ti lˈ j on
לְ תַי יֵּ ר	le taˈ je r
הַט ָּ פָ ה	hat aˈ f a
לְ הַ סְ לִי ם	le ha sˈ li m
ל ה כ חי ד	le h axˈ xi d
בָּ רִי א	ba ˈr i
עַ בְ ד וּת	a vˈ d ut
ל ה ק סי ם	le h akˈ si m
שְׁ מִי רָ ה	ʃ miˈ r a
לַ נ וּ ד	laˈ n u d
ק מו ל	kaˈ mu l
לַ חֲ ל וֹ שׁ	la xaˈ l o ʃ
הִ סְ תַ בְּ ר וּת	hi s ta bˈ r ut
דּ וּ גְ מָ נ וּת	d u g maˈ n ut
א י וש	iˈ j uʃ
מַ שָּׂ אִי ת	ma saˈ ʔi t
ט י פ ה	t iˈ p a
סָ פ וּ ר	saˈ f u r
ל י י ב ש	le j a ˈbe ʃ
לִ סְ בּ וֹר	li sˈ b or
לְ בַ נַה	le vaˈ na
סַ בָּ ל	saˈ ba l
הת ע ק ש ות	hitʔ a kˈ ʃ ut
ל ת ר ג ל	le ta rˈ ge l
ר וֹ פֵ ף	r oˈ fe f
לְ עַ בְ רֵ ת	le ʔa vˈ re t
פַּ רְ נָ סָ ה	pa r naˈ s a
לְ עוֹ רֵ ר	le ʔoˈ re r
לְ הַ עַ רִי ץ	le ha ʔaˈ ri ts
שָׁ לָ ב	ʃaˈ la v
לָ רֶ דֶ ת	laˈ re de t
לְ הִ ת ְמַ נּ וֹת	le hi t maˈ n ot
לְ הִ סְ תַ נֵ ף	le hi s taˈ ne f
ז ג ג	z aˈga g
לְ הַ רְ גִ י ל	le ha r ˈg i l
חי ז ו ק	xiˈ z u k
א ר ג ז	a r ˈga z
תַּ ה ֲ פ וּ כָ ה	ta h a f uˈ x a
מְ צ וּ יַ ן	me ts uˈ ja n
לְ הַ ווְ רִי ד	le ha vˈ ri d
חַ י יָּ ל	xa ˈ ja l
זִ י קִּ ית	zi ˈ k it
כ ח ל ח ל	k xa lˈ xa l
לְ הַ פְ שִׁ יט	le ha fˈ ʃ it
הַ כְ תַ בַה	ha x taˈ va
קְ נִי יַה	k niˈj a
לְ הִ ת ְחַ לְ חֵ ל	le hi t xa lˈ xe l
גַּ ע ְ גּ וּעַ	ga ʔ aˈ g ua
הִ יפַּ רְ ד וּת	h ipa rˈ d ut
רֵ י אָ י וֹן	re ʔ aˈ j on
תִ פְ אֵ רֵ ת	ti fˈ ʔe re t
הַ שְׁ עַ יַה	ha ʃ ʔaˈ ja
ל ה י ר ת ם	le h e raˈ te m
ל ק י י ם	le kaˈ j e m
ל הת ר ו נ ן	le hit r o ˈne n
לְ הִ סְ תַּ מֵּ א	le hi s taˈ m e
ל דו ם	la ˈdo m
ש ופ י ן	ʃ oˈf i n
הַ קְ דַ שַׁה	ha k daˈ ʃa
לְ רַ קּ ֵ עַ	le raˈ k e a
מצ ב ר	mats ˈbe r
לָ שֶׁ בֶ ת	laˈ ʃe ve t
ל ש ג ר	le ʃ aˈge r
תָּ מִי ד	taˈ mi d
מִ שְׁ מָ ר	mi ʃˈ ma r
לְ הַ זִ יד	le haˈ z id
לִ גְ דּ וֹר	li gˈ d or
לְ הֵי חַ נֵ ךְ	le he xaˈ ne x
הַ ת ְרַ אַה	ha t raˈ ʔa
לְ הִ יג ּוֹ ל	le hiˈ g o l
ג ב	ˈga v
לְ שַׁי יֵ ךְ	le ʃaˈj e x
מִ שְׁ דַ ר	mi ʃˈ da r
ל ה ב י א	le h aˈ v i
ש מ דו ב ר	ʃe me du ˈba r
לְ הַ שְׂ בִּי עַ	le ha sˈ bi a
תַּ סְ כִּי ת	ta sˈ ki t
בִּ לְ עַ דִי	bi l ʔaˈ di
לְ חַ לֵּ ץ	le xaˈ le ts
ל ה צ ט וו ת	le hi ts ta ˈvo t
לְ בַ רֵ ר	le vaˈ re r
גֵ י ר וּ ז	ge ˈ r u z
תע ב ור ה	ta ʔ avu ˈra
נ ט י ף	na ˈt i f
נ מ ר	na ˈme r
טַ ב וּעַ	taˈ v ua
גַ ל וּ י	gaˈ l u j
נַ קִי ק	naˈ ki k
לְ הִ י ו וַּ עֵ ד	le h i v aˈ ʔe d
זֶ פֶ ת	ˈze fe t
י א כ ט ה	ˈj a x t a
ש ג ר י ר	ʃ agˈ r i r
א מי תה	a miˈ ta
לְ הַ שְׁ מִי ן	le ha ʃˈ mi n
הִ תְ מ וֹד ְ ד וּת	h it m od eˈ d ut
לְ הִ תְ עַ י יֵּ ר	le hi tʔ a ˈ je r
אֶ רֶ ץ	ˈe re ts
מ ש פ ט י	mi ʃ pa ˈt i
יַ נְ שׁ וּ ף	ja nˈ ʃ u f
לְ הִ תְ קַנֵא	le h it kaˈne
הַ צָּ עָ ת וֹ	ha tsa ʔaˈ t o
ג נ ט י	ge ˈne t i
ר יק ו ד	r iˈk u d
לִ פְ תּ וֹר	li fˈ t or
לִ רְ מ וֹ ס	li rˈ m o s
לִ קְ ל וֹ חַ	li kˈ l o ax
לְ הִ תְ עַ רֵ ב	le hi tʔ aˈ re v
ג וֹפְ רִי ת	g ofˈ ri t
א וֹצ ָ ר	o tˈs a r
ל ה פ ט י ר	le h afˈ t i r
כּ וּ רְ סַה	k u rˈ sa
ט י פ ט ו ף	t i fˈ t u f
לִ שְׁ ל וֹ ל	li ʃˈ l o l
דַ בִי ק	daˈ vi k
לִ בְ ח וֹ ל	li vˈ x o l
הַ צָּ עָ ה	ha tsaˈ ʔ a
טְ עִי מַה	te ʔiˈ ma
צַ נְ חָ ן	tsa nˈ xa n
שָׁ ג וּ ר	ʃaˈ g u r
ר ופ ף	r oˈfe f
מְ לַא כ וּ תִי	me la x uˈ ti
לִ כְ ל וֹ ל	li xˈ l o l
א מצ ע	e mtˈs a
הִ תְ הַ וּ וּת	hi th aˈ v ut
מ בר ש ת	mi vˈre ʃe t
שי ח ה	siˈ x a
ר וֹעַ	ˈr oa
מְ ח וּ נָּ ן	me x uˈ na n
חַ שִׂ י פַה	xa s iˈ fa
ל ה כ ב י ר	le h axˈ b i r
לַ גַע ַ ת	laˈ gaʔ a t
לְ הַחְ שִׁ יד	le haxˈ ʃ id
נ ג ן	na ˈga n
ל די יק	le daˈj ek
נַ ח וּ ץ	naˈ x u ts
מ וֹ נִי ת	m oˈ ni t
הַ בַ רַה	ha vaˈ ra
חַ לַ בִי	xa laˈ vi
ג ח ל י ל	g axˈ l i l
תְ ח וּ ם	tˈ x u m
מַא ַפ ֵ רַה	maʔ afe ˈ ra
ל פ ל ו ח	l ifˈ l o ax
ה ֲ לָ כָ ה	h a laˈ x a
לְ הִ ת ְלַ קֵ חַ	le hi t laˈ ke ax
כַּ זֵה	kaˈ ze
יִ יס וּ ד	ji ˈs u d
לְ הַ מְ שִׁי ךְ	le ha mˈ ʃi x
עָ לֶ ה	aˈ l e
לַ ק וֹ חַ	laˈ k o ax
יַ גֵ עַ	jaˈ ge a
א ג ב	a ˈga v
פּ ְסִ י עַה	p s iˈ ʔa
נִי קַ י וֹן	ni kaˈ j on
לְ הִ יק ָּ טֵ ל	le h ik aˈ te l
מֵ רֵ ץ	ˈme re ts
טָ רֶ שֶׁ ת	taˈ re ʃe t
מ מ נ ו	mi ˈme n u
לְ י יַ צֵּ א	le j a tˈs e
לְ הַ א ֲ נִי שׁ	le ha ʔ aˈ ni ʃ
תַּ ע ְ נִי ת	ta ʔ aˈ ni t
לְ הִ ת ְבַּ דֵּ ל	le hi t baˈ de l
לְ חַ לֵּ ק	le xaˈ le k
ג ז ל	ˈge ze l
נ יצ ן	n itˈsa n
מָ ק וֹ ם	maˈ k o m
בְּ הֵ חְ לֵ ט	be he xˈ le t
שְׁ לִי לָ ה	ʃ liˈ l a
ק ש ת	ˈke ʃe t
לְ מִ שְׂ רַ ד	le mi sˈ ra d
לְ הִ תְפַּ עֵ ם	le hi tpaˈ ʔe m
לְ הִ ת ְמַ עֵ ט	le hi t maˈ ʔe t
לְ הִ תְ נַ תֵ ק	le h it naˈ te k
גי ר	ˈgi r
ש ד	ˈʃe d
ל ה י כ ס ף	le h i kaˈ se f
ק פ ה	kaˈ f e
עוֹ שֵׁ ר	ˈo ʃe r
קִי נַה	kiˈ na
ל הת וו ת	le hatˈ vo t
פַּ רְ טַ נִי	pa r taˈ ni
ח ו ל ד ה	x u lˈ d a
ל ה ר ז ו ת	le h arˈ z o t
לְ הִ ת ְגַ בֵּ ר	le hi t gaˈ be r
לְ נַ טֵ ר	le naˈ te r
לְ הִ תְ עַ צֵּ ב	le hi tʔ a tˈse v
לְ אַ זֵ ן	le ʔaˈ ze n
כָּ א ן	ˈk a n
מַע ַ שִׂ י	maʔ aˈ s i
לְ הֵי אָ נֵ ק	le he ʔaˈ ne k
י ומ ן	j oˈma n
דַ רְ בַּ ן	da rˈ ba n
טַ מֵא	taˈ me
טע ות	taˈ ʔut
לְ הֵי הָ פֵ ךְ	le he haˈ fe x
גֵ ירַ עוֹ ן	ge raˈ ʔo n
גֵּ י א וֹ מֶ טְ רְ יָ ה	ge ʔ o ˈ me t r j a
לִ רְ עוֹ ת	li rˈ ʔo t
מ וֹ שִׁ י עַ	m oˈ ʃ i a
נַ זִ י ל	naˈ z i l
לִ סְ פּ וֹד	li sˈ p od
ל ש מו ן	l iʃˈ mo n
רַ ד וּ ם	raˈ d u m
הַ שּׁ ְנִיָּ ה	ha ʃ niˈj a
ע נ נ ות	a n aˈn ut
לְ הַצְ מִי ת	le hatsˈ mi t
ל ב ז ו ז	l ivˈ z o z
לְ הַ גִ י חַ	le ha ˈg i ax
תּ ֵ י א וּ ם	t e ˈ ʔ u m
ל ה ט ר י ף	le h atˈ r i f
מְ פ וּ נְ טַ ז	me f u nˈ ta z
כָּ זֶ ה	kaˈ z e
ל ה יג ר ם	le hi g aˈre m
לִ זְ ה וֹר	li zˈ h or
מ ר ק ע	mi rˈ k a
קִ רְ בַה	ki rˈ va
ק וצ ר	k otˈse r
שְׂ מִי כַה	s mi ˈxa
ל ג ב י	le g aˈbe i
ל ק פ ץ	le kaˈ p ets
לע כ ל	le ʔaˈke l
ר ף	ˈra f
מְ ב וּ סַ ס	me v uˈ sa s
דְ חִ י יַה	d xiˈ j a
צָ ה וֹ ב	tsaˈ h o v
לְ אַ חֵ ל	le ʔaˈ xe l
אִ יווְ שׁ וּ שׁ	i vˈ ʃ u ʃ
לַ חְ ק וֹ ק	la xˈ k o k
ה סת י יג ות	hi st a jˈg ut
קַ יָּ ם	kaˈ ja m
שְׂ דֵ ה	sˈ d e
מַ צְ לֵ מַה	ma ts leˈ ma
לְ נַ ק וֹת	le naˈ k ot
מִ סְ פָּ ר	mi sˈ pa r
ק ו ל נ ו ע	k o lˈ n o a
אַ מִי ץ	aˈ mi ts
א י ב ו ק	i ˈ b u k
לְ הִ תְפַּ כֵּ חַ	le hi tpaˈ ke ax
תה י ה	tehi ˈj a
הִ תְ נַ סְ ח וּת	h it na sˈ x ut
לְ הַ תְ אִי ם	le ha tˈ ʔi m
וִ י ל וֹן	v iˈ l on
שַׂ חְ קָ ן	sa xˈ ka n
נ יצ ו ח	n itˈs u ax
לְ הַ שְׁ לִי ךְ	le ha ʃˈ li x
לְ כ ַ סֵּ חַ	le x aˈ se ax
מ ע ו ן	ma ˈʔ o n
מַ שַׁ ל	maˈ ʃa l
פּ ְרִי שָׁ ה	p riˈ ʃ a
א וּ מָּ ן	u ˈ ma n
מ כ ר	ˈme xe r
ח ל ש	xa ˈla ʃ
מִ שְׁ מֶ רֶ ת	mi ʃˈ me re t
שַׁ נ וּ ן	ʃaˈ n u n
ל ה י ר ח ץ	le h e raˈ x ets
מִ רְ קַ חַ ת	mi rˈ ka xa t
לְ אַ חֵ ר	le ʔaˈ xe r
ל מצ ו ת	le matˈs o t
